title,url,domain,seendate,language,sourcecountry,event_id,phase
Trump threats bring war closer as contradictions and legal fears mount...,https://www.cnn.com/2025/12/01/politics/trump-venezuela-threats-pressure,www.cnn.com,2025-12-01,en,,REC1,pre
Trump to hold Venezuela Oval Office meeting... Developing...,https://www.cnn.com/2025/12/01/politics/trump-venezuela-meeting,www.cnn.com,2025-12-01,en,,REC1,pre
Trump says he believes Hegseth '100%' on Venezuelan drug boat strike denial amid allegations,https://www.foxnews.com/politics/trump-says-he-believes-hegseth-100-venezuelan-drug-boat-strike-denial-amid-allegations,www.foxnews.com,2025-12-01,en,,REC1,pre
Trump says 'don't read anything into it' when asked about declaring Venezuela's airspace closed,https://www.foxnews.com/politics/trump-says-dont-read-anything-it-when-asked-about-declaring-venezuelas-airspace-closed,www.foxnews.com,2025-12-01,en,,REC1,pre
"US dramatically escalates Somalia airstrikes as Trump admin targets ISIS, al Qaeda terrorists",https://www.foxnews.com/world/us-dramatically-escalates-somalia-airstrikes-trump-admin-targets-isis-al-qaeda-terrorists,www.foxnews.com,2025-11-28,en,,REC1,pre
Secretary of the Navy says drug cartels are launching 'attack on the country' with narcotics,https://www.foxnews.com/media/secretary-navy-says-drug-cartels-launching-attack-country-narcotics,www.foxnews.com,2025-11-30,en,,REC1,pre
Lawmakers skeptical of alleged Hegseth kill orders in Venezuela — but issue stark warning,https://www.foxnews.com/politics/lawmakers-skeptical-alleged-hegseth-kill-orders-venezuela-issue-stark-warning,www.foxnews.com,2025-12-01,en,,REC1,pre
Retired general hails Trump's 'holistic' crackdown on Venezuelan drug trafficking as showdown escalates,https://www.foxnews.com/media/retired-general-hails-trumps-holistic-crackdown-venezuelan-drug-trafficking-showdown-escalates,www.foxnews.com,2025-12-01,en,,REC1,pre
Venezuela White House meeting kicks off Trump’s high-stakes week as Cabinet huddle looms,https://www.foxnews.com/politics/venezuela-white-house-meeting-kicks-off-trumps-high-stakes-week-cabinet-huddle-looms,www.foxnews.com,2025-12-01,en,,REC1,pre
Trump gave Maduro ultimatum to flee Venezuela as land operations loom: report,https://www.foxnews.com/world/trump-gave-maduro-ultimatum-flee-venezuela-land-operations-loom-report,www.foxnews.com,2025-12-01,en,,REC1,pre
Trump gave Maduro ultimatum to flee Venezuela as land operations loom: report,https://www.foxnews.com/politics/trump-gave-maduro-ultimatum-flee-venezuela-land-operations-loom-report,www.foxnews.com,2025-12-01,en,,REC1,pre
"Hegseth defends lethal strikes against alleged drug traffickers: 'Biden coddled terrorists, we kill them'",https://www.foxnews.com/politics/hegseth-defends-lethal-strikes-against-alleged-drug-traffickers-biden-coddled-terrorists-we-kill-them,www.foxnews.com,2025-11-29,en,,REC1,pre
Ex-CIA station chief warns Putin using talks to gain leverage as Ukraine delegation meets top Trump officials,https://www.foxnews.com/media/ex-cia-station-chief-warns-putin-using-talks-gain-leverage-ukraine-delegation-meets-top-trump-officials,www.foxnews.com,2025-11-30,en,,REC1,pre
Mark Kelly pressed on whether he would refuse orders if he was still in uniform,https://www.foxnews.com/media/mark-kelly-pressed-whether-he-would-refuse-orders-he-still-uniform,www.foxnews.com,2025-11-30,en,,REC1,pre
Trump says US will begin stopping Venezuelan drug traffickers by land: 'Going to start very soon',https://www.foxnews.com/politics/trump-says-us-begin-stopping-venezuelan-drug-traffickers-land-going-start-very-soon,www.foxnews.com,2025-11-28,en,,REC1,pre
"Miami dominates Pitt to keep ACC title game, College Football Playoff dreams alive",https://www.foxnews.com/sports/miami-dominates-pitt-keep-acc-title-game-college-football-playoff-dreams-alive,www.foxnews.com,2025-11-29,en,,REC1,pre
"US military carried out second strike killing survivors on a suspected drug boat that had already been attacked, sources say",https://www.cnn.com/2025/11/28/politics/us-military-second-strike-caribbean,www.cnn.com,2025-11-28,en,,REC1,pre
"Dak Prescott, CeeDee Lamb lead Cowboys past Chiefs in Thanksgiving thriller",https://www.foxnews.com/sports/dak-prescott-ceedee-lamb-lead-cowboys-past-chiefs-thanksgiving-thriller,www.foxnews.com,2025-11-28,en,,REC1,pre
Sen. Kelly on Venezuelan boat strikes report | CNN Politics,https://www.cnn.com/2025/11/30/politics/video/mark-kelly-venezuela-boat-strikes-vrtc,www.cnn.com,2025-12-01,en,,REC1,pre
Browns players rip 49ers wide receiver over 'demeaning and disparaging' comments during game,https://www.foxnews.com/sports/browns-players-rip-49ers-wide-receiver-over-demeaning-disparaging-comments-during-game,www.foxnews.com,2025-12-01,en,,REC1,pre
"Turkish official says Black Sea tankers may have been hit by mines, missiles or drones",https://apnews.com/article/tankers-russia-sanctions-shadow-fleet-mines-drones-black-sea-76dce005c40a0bf38faf2fbf8be71e38,apnews.com,2025-11-29,en,,REC1,pre
Ukraine peace talks productive as ex-government official says country rethinking 'uncompromising' stance,https://www.foxnews.com/world/ukraine-peace-talks-productive-ex-government-official-says-country-rethinking-uncompromising-stance,www.foxnews.com,2025-11-30,en,,REC1,pre
