title,url,domain,seendate,language,sourcecountry,event_id,phase
John Burns Q. and A. on Obama’s Options in Afghanistan,https://atwar.blogs.nytimes.com/2009/11/27/john-burns-q-and-a-on-obamas-options-in-afghanistan/,atwar.blogs.nytimes.com,2009-11-28,en,,AFG2009,pre
Mr. Obama’s Task,https://www.nytimes.com/2009/11/19/opinion/19thu1.html,www.nytimes.com,2009-11-19,en,,AFG2009,pre
Visceral Has Its Value,https://www.nytimes.com/2009/11/22/opinion/22dowd.html,www.nytimes.com,2009-11-22,en,,AFG2009,pre
Obama’s Speech on Afghanistan to Envision Exit,https://www.nytimes.com/2009/11/30/world/asia/30policy.html,www.nytimes.com,2009-11-30,en,,AFG2009,pre
Benchmarks in Wartime: As Reliable as Promises,https://www.nytimes.com/2009/11/29/weekinreview/29myers.html,www.nytimes.com,2009-11-28,en,,AFG2009,pre
After Cheney,https://www.nytimes.com/2009/11/29/magazine/29Biden-t.html,www.nytimes.com,2009-11-24,en,,AFG2009,pre
Wave of Debt Payments Facing U.S. Government,https://www.nytimes.com/2009/11/23/business/23rates.html,www.nytimes.com,2009-11-23,en,,AFG2009,pre
"In Iraq, a Blunt Civilian Is a Fixture by the General’s Side",https://www.nytimes.com/2009/11/21/world/middleeast/21emmasky.html,www.nytimes.com,2009-11-20,en,,AFG2009,pre
Ask John Burns: Obama’s Options in Afghanistan,https://atwar.blogs.nytimes.com/2009/11/23/ask-john-burns-obamas-options-in-afghanistan/,atwar.blogs.nytimes.com,2009-11-23,en,,AFG2009,pre
Signs Swine Flu Wave May Have Peaked in U.S.,https://www.nytimes.com/2009/11/21/health/21flu.html,www.nytimes.com,2009-11-20,en,,AFG2009,pre
On the Spot: The Afghan 'Surge',http://atwar.blogs.nytimes.com/2009/12/03/blogs/03atwar-the-afgh10455.html,atwar.blogs.nytimes.com,2009-12-03,en,,AFG2009,post
How Obama Came to Plan for ‘Surge’ in Afghanistan,https://www.nytimes.com/2009/12/06/world/asia/06reconstruct.html,www.nytimes.com,2009-12-05,en,,AFG2009,post
Similarities to Iraq Surge Plan Mask Risks in Afghanistan,https://www.nytimes.com/2009/12/05/world/05policy.html,www.nytimes.com,2009-12-05,en,,AFG2009,post
Stretching Out an Ugly Struggle,https://www.nytimes.com/2009/12/04/opinion/04iht-edfuller.html,www.nytimes.com,2009-12-03,en,,AFG2009,post
Obama’s Surge Strategy in Afghanistan,https://roomfordebate.blogs.nytimes.com/2009/11/30/obamas-surge-strategy-in-afghanistan/,roomfordebate.blogs.nytimes.com,2009-12-01,en,,AFG2009,post
On the Spot: The Afghan ‘Surge’,https://atwar.blogs.nytimes.com/2009/12/03/the-afghan-surge-strategy/,atwar.blogs.nytimes.com,2009-12-03,en,,AFG2009,post
"Our Timeline, and the Taliban’s",https://www.nytimes.com/2009/12/04/opinion/04hastings.html,www.nytimes.com,2009-12-04,en,,AFG2009,post
Two Messages for Two Sides,https://www.nytimes.com/2009/12/02/world/asia/02assess.html,www.nytimes.com,2009-12-02,en,,AFG2009,post
Afghans and Pakistanis Concerned Over U.S. Plan,https://www.nytimes.com/2009/12/03/world/asia/03pstan.html,www.nytimes.com,2009-12-02,en,,AFG2009,post
"With Troop Pledge, New Demands on Afghans",https://www.nytimes.com/2009/12/02/world/asia/02afghan.html,www.nytimes.com,2009-12-02,en,,AFG2009,post
Data Show Bin Laden Plots; C.I.A. Hid Near Raided House,https://www.nytimes.com/2011/05/06/world/asia/06intel.html,www.nytimes.com,2011-05-06,en,,PAK2011,post
Obama’s Remarks on Bin Laden’s Killing,https://www.nytimes.com/2011/05/02/world/middleeast/02obama-text.html,www.nytimes.com,2011-05-02,en,,PAK2011,post
"Bin Laden Is Dead, Obama Says",https://www.nytimes.com/2011/05/02/world/asia/osama-bin-laden-is-killed.html,www.nytimes.com,2011-05-02,en,,PAK2011,post
Text of President Obama’s Speech,https://www.nytimes.com/2011/05/02/us/politics/02text.html,www.nytimes.com,2011-05-02,en,,PAK2011,post
"In Long Pursuit of Bin Laden, the ’07 Raid, and Frustration",https://www.nytimes.com/2011/05/06/world/asia/06binladen.html,www.nytimes.com,2011-05-06,en,,PAK2011,post
Behind the Hunt for Bin Laden,https://www.nytimes.com/2011/05/03/world/asia/03intel.html,www.nytimes.com,2011-05-03,en,,PAK2011,post
"Pakistani Army, Shaken by Raid, Faces New Scrutiny",https://www.nytimes.com/2011/05/05/world/asia/05pakistan.html,www.nytimes.com,2011-05-05,en,,PAK2011,post
Bin Laden Raid Revives Debate on Value of Torture,https://www.nytimes.com/2011/05/04/us/politics/04torture.html,www.nytimes.com,2011-05-04,en,,PAK2011,post
Bin Laden’s Secret Life in a Diminished World,https://www.nytimes.com/2011/05/08/world/asia/08binladen.html,www.nytimes.com,2011-05-07,en,,PAK2011,post
"A Reporter’s Quest for Osama bin Laden, the Unholy Grail",https://www.nytimes.com/2011/05/08/weekinreview/08burnsWEB.html,www.nytimes.com,2011-05-07,en,,PAK2011,post
NATO Steps Back From Military Intervention in Libya,https://www.nytimes.com/2011/03/11/world/africa/11nato.html,www.nytimes.com,2011-03-10,en,,LBY2011,pre
"As U.N. Backs Military Action in Libya, U.S. Role Is Unclear",https://www.nytimes.com/2011/03/18/world/africa/18nations.html,www.nytimes.com,2011-03-17,en,,LBY2011,pre
March 9: Updates on Libya’s Revolt and Middle East Protests,https://thelede.blogs.nytimes.com/2011/03/09/march-9-updates-on-libyas-revolt-and-middle-east-protests/,thelede.blogs.nytimes.com,2011-03-09,en,,LBY2011,pre
March 10: Updates on Libya’s Revolt and Middle East Protests,https://thelede.blogs.nytimes.com/2011/03/10/march-10-updates-on-libyas-revolt-and-middle-east-protests/,thelede.blogs.nytimes.com,2011-03-10,en,,LBY2011,pre
Gates Tells Bahrain’s King That ‘Baby Steps’ to Reform Aren’t Enough,https://www.nytimes.com/2011/03/13/world/middleeast/13military.html,www.nytimes.com,2011-03-12,en,,LBY2011,pre
March 18 Updates on Libya and Arab Uprisings,https://thelede.blogs.nytimes.com/2011/03/18/latest-updates-on-libya-and-arab-uprisings/,thelede.blogs.nytimes.com,2011-03-18,en,,LBY2011,pre
Dozens Suffocate in Syria as Government Is Accused of Chemical Attack,https://www.nytimes.com/2018/04/08/world/middleeast/syria-chemical-attack-ghouta.html,www.nytimes.com,2018-04-08,en,,SYR2018,pre
U.S. Says Syria Has Used Chemical Weapons at Least 50 Times During War,https://www.nytimes.com/2018/04/13/world/middleeast/un-syria-haley-chemical-weapons.html,www.nytimes.com,2018-04-13,en,,SYR2018,pre
"In a Syrian Town, People Started Shouting: ‘Chemicals! Chemicals!’",https://www.nytimes.com/2018/04/11/world/middleeast/syria-chemical-attack-douma.html,www.nytimes.com,2018-04-12,en,,SYR2018,pre
Responding to the Chemical Attack in Syria,https://www.nytimes.com/2018/04/09/opinion/syria-chemical-attack.html,www.nytimes.com,2018-04-09,en,,SYR2018,pre
"Burning Eyes, Foaming Mouths: Years of Suspected Chemical Attacks in Syria",https://www.nytimes.com/2018/04/08/world/middleeast/syria-chemical-attacks-assad.html,www.nytimes.com,2018-04-08,en,,SYR2018,pre
Questions About Syria,https://www.nytimes.com/2018/04/12/opinion/syria-chemical.html,www.nytimes.com,2018-04-12,en,,SYR2018,pre
Suspected Chemical Attack in Syria: What We Know and Don’t Know,https://www.nytimes.com/2018/04/11/world/middleeast/syria-chemical-attack.html,www.nytimes.com,2018-04-11,en,,SYR2018,pre
"In Syria, Trump Faces the Limits of Bluster",https://www.nytimes.com/2018/04/09/opinion/chemical-syria-trump-assad.html,www.nytimes.com,2018-04-10,en,,SYR2018,pre
"After Chemical Weapons Attack in Syria, Trump Weighs Retaliation",https://www.nytimes.com/2018/04/09/world/middleeast/trump-syria-attack.html,www.nytimes.com,2018-04-09,en,,SYR2018,pre
"Mattis Tries to Put Brakes on Possible Syria Strike, to ‘Keep This From Escalating’",https://www.nytimes.com/2018/04/12/us/politics/trump-syria-attack.html,www.nytimes.com,2018-04-12,en,,SYR2018,pre
"U.S., Britain and France Strike Syria Over Suspected Chemical Weapons Attack",https://www.nytimes.com/2018/04/13/world/middleeast/trump-strikes-syria-attack.html,www.nytimes.com,2018-04-14,en,,SYR2018,post
