outcome,domain_simple,post_event,mean,n,std
fk_grade,nytimes,0,12.248076548184443,8,3.3990006433327604
fk_grade,nytimes,1,11.31311765590784,50,1.9151679091588265
avg_rarity,nytimes,0,6.905285847349139,8,0.14174788945224795
avg_rarity,nytimes,1,6.849126409341539,50,0.3193747131383111
rare_share,nytimes,0,0.11376516487288725,8,0.009885410066443395
rare_share,nytimes,1,0.1100339851553803,50,0.008140960395770924
dale_chall,nytimes,0,10.589632989949473,8,1.2539748472341865
dale_chall,nytimes,1,10.574914059080642,50,1.080155266923323
avg_sentence_len,nytimes,0,20.53774477228958,8,4.713836390275806
avg_sentence_len,nytimes,1,17.885440152750796,50,4.492298969006402
ttr,nytimes,0,0.4564527831134729,8,0.11115434564195924
ttr,nytimes,1,0.48549796636744813,50,0.09654293134375515
